# x_1,x_2,Class_label
6.92860584e-01,5.56588472e-01,0
4.00311032e-01,2.76177259e-01,1
3.30682709e-01,9.19994974e-01,0
2.18833476e+00,6.24647024e-01,1
9.52366325e-01,-3.31363137e-01,1
1.05565405e-01,4.30240837e-01,1
1.98552883e+00,6.04002219e-01,1
1.86829513e+00,-4.05506328e-03,1
7.88088433e-01,-6.24692375e-01,1
-1.41826779e+00,5.20134888e-01,0
3.89918908e-01,-4.36071835e-01,1
1.78078225e+00,1.82574405e-01,1
-1.02696881e+00,2.37736288e-02,0
1.13710983e+00,3.07533641e-01,0
9.96318617e-01,5.93480452e-01,0
1.17525005e+00,-6.04399569e-01,1
3.50394627e-01,-7.98512952e-02,1
7.84278798e-01,4.30828670e-01,0
-5.18435344e-01,9.14875911e-01,0
-4.12406086e-01,1.33317402e+00,0
1.25627769e+00,2.78947958e-01,0
3.33519921e-01,-1.76357396e-01,1
1.26417721e+00,-3.47915782e-01,1
-2.98535417e-01,6.10716252e-01,1
1.52829938e-01,1.00838452e+00,0
1.65602830e-01,3.98675741e-01,1
8.60751313e-01,8.82713137e-01,0
-5.78030874e-02,8.68170677e-01,0
4.34795812e-02,1.08260162e+00,0
1.20416700e-01,1.08756136e+00,0
8.68284319e-01,1.91557519e-01,0
1.77229064e+00,2.66125266e-01,1
8.44526557e-01,-5.63919221e-01,1
9.95473035e-01,-3.55815423e-01,1
-3.65253212e-01,8.41580447e-01,0
-6.54304811e-01,4.51464615e-01,0
-7.34803664e-01,4.92381097e-01,0
-5.61977145e-01,4.69763072e-01,0
-6.71560353e-01,7.27653600e-01,0
2.22883344e+00,5.03115259e-01,1
-8.26524943e-01,4.57765979e-01,0
-8.91562928e-02,1.03228795e+00,0
1.16968192e+00,-4.35853663e-02,0
-5.86363354e-01,3.58389947e-01,0
-5.96582634e-01,8.48036826e-01,0
1.18800687e-01,2.19631499e-01,1
3.62827075e-01,-2.18265675e-01,1
1.16681091e+00,-1.20536366e+00,1
1.34212748e+00,-4.01992808e-01,1
1.44409992e-01,6.88456148e-01,0
1.11674010e+00,5.60001798e-01,0
1.56426546e+00,-2.88289061e-01,1
2.19282437e-01,8.97302633e-02,1
-7.53889348e-01,7.66519577e-01,0
2.22974142e-01,2.06771122e-01,1
-8.65068581e-01,3.67076577e-01,0
3.90075754e-01,6.35430620e-01,0
-1.17096873e+00,6.94472335e-01,0
-6.80047029e-01,6.82237170e-01,0
-7.04509368e-01,6.25814226e-01,0
1.80451625e+00,-1.91309792e-01,1
-7.83914158e-01,5.67819449e-01,0
-7.28528847e-01,6.66461737e-01,0
-5.48193708e-01,2.67853333e-01,1
2.55948843e-01,8.39546552e-01,0
-3.60731577e-01,5.99016546e-01,1
-2.11130422e-02,2.05175966e-01,1
-8.78556803e-01,8.18200747e-02,0
1.34022762e+00,-4.95679742e-01,1
1.22361182e+00,-6.72636317e-01,1
-5.74533496e-01,7.21291900e-01,0
1.81454466e+00,-4.66756837e-01,1
2.20719642e+00,2.70445001e-01,1
1.94555146e+00,3.72183200e-02,1
1.43518874e-01,6.89323374e-01,0
7.65380268e-01,6.92833612e-01,0
8.18040454e-02,3.06757587e-01,1
-1.12874990e+00,3.39494131e-01,0
3.39766166e-01,3.74612042e-02,1
6.44582773e-01,9.50135489e-01,0
1.70736729e+00,2.02776002e-01,1
2.07115427e+00,6.98738848e-02,1
1.61187928e+00,-1.00205816e-01,1
-9.42536591e-01,3.54097645e-01,0
3.01384144e-01,-4.74697986e-01,1
-7.69587073e-02,5.58179919e-01,1
-3.57609230e-01,5.97058733e-01,0
9.70362281e-01,-1.03671172e-01,1
1.64593701e+00,-1.97145105e-01,1
7.62456641e-01,5.93404502e-01,0
5.38499941e-01,1.14342871e+00,0
9.22941185e-01,-3.33147324e-01,0
-6.04490993e-01,2.09029997e-01,0
5.20155906e-01,1.42158967e-01,1
7.01442008e-01,1.07264588e+00,0
1.35936743e+00,-5.09692584e-01,1
1.87497758e+00,2.44988897e-01,1
-9.36999284e-01,1.56217871e-01,0
8.48932943e-01,-5.13023443e-01,1
6.24557055e-01,3.87972933e-01,0
1.55861361e-01,8.46967494e-02,1
1.77209340e+00,-1.58077063e-01,1
3.73411686e-01,-2.39241975e-01,1
2.24470899e-01,1.12715430e+00,0
7.69596498e-03,8.17022654e-01,0
1.69560005e-01,5.40989797e-01,1
2.27095649e+00,-8.17569597e-02,1
9.11280069e-01,4.27949130e-01,0
1.49891364e+00,3.09869257e-01,1
-1.79212690e-01,1.69574814e-01,1
9.38019193e-01,-4.55687142e-01,1
1.77432310e-01,-2.71948362e-01,1
-4.58012349e-01,9.79037707e-01,0
1.96408127e+00,1.62054882e-01,1
6.62273334e-01,8.23473684e-02,0
-2.89073498e-01,8.28974534e-01,0
5.23067335e-02,8.26777605e-01,0
1.37099749e+00,-7.66705359e-01,1
3.88664100e-01,7.96353996e-01,0
-6.69146075e-01,4.03369763e-01,0
4.67949345e-01,7.66219865e-01,0
2.22075647e+00,-8.11107322e-02,1
1.02670727e+00,-1.25054360e-01,0
1.37549761e+00,-1.76928845e-01,1
-1.61079191e-01,9.70324477e-01,0
-1.77054608e-01,9.29099906e-01,0
2.13956885e+00,3.59375099e-01,1
1.85467618e-01,1.03156615e+00,0
-3.81690115e-01,4.33328227e-01,1
1.70192374e+00,-1.47613063e-01,1
2.26897058e-01,-1.06479770e-01,1
6.07929562e-01,6.72682250e-01,0
1.11267465e+00,3.42979288e-02,0
3.29736770e-01,2.83711099e-01,1
2.60646542e-02,2.45580251e-01,1
6.68500495e-01,7.87319367e-01,0
1.01802171e+00,-4.74100032e-01,1
-1.09089270e-01,3.88728633e-01,1
4.38033593e-01,-6.24549480e-01,1
1.16787793e+00,-4.48095428e-01,1
-1.80616419e-01,2.44058332e-01,1
-2.20043345e-01,9.58596135e-01,0
-1.03081705e+00,5.38302278e-01,0
2.08206644e+00,-5.57674550e-02,1
1.07162146e+00,-3.81796522e-01,1
-1.91145168e-01,7.75052581e-01,0
1.21751634e+00,2.00906731e-01,0
2.76157029e-01,8.03544029e-01,0
2.61473801e-01,6.74538659e-01,0
1.64321986e+00,-8.52648526e-02,1
3.03343017e-01,-1.06064880e-01,1
1.33604128e+00,-2.51633101e-01,1
3.66777199e-01,8.62541966e-01,0
7.93357896e-01,-1.15401519e-01,1
-4.34316492e-01,7.36126380e-01,0
-4.29973407e-01,3.26564650e-01,0
-8.15453377e-01,1.04038197e+00,0
1.61616200e+00,-4.10410651e-02,1
3.57703257e-01,4.28324750e-01,0
-4.99261345e-01,2.99104744e-01,0
2.50736833e-01,2.95800700e-01,1
3.65382818e-01,4.79758549e-01,0
-2.40976135e-01,6.07720201e-01,0
9.48564698e-01,-5.01098268e-01,1
4.75185937e-01,-3.34276362e-01,1
1.97285593e+00,1.70764154e-02,1
2.54278335e+00,2.23682752e-01,1
6.34532056e-01,9.58398791e-02,1
2.47860330e-01,9.74438995e-01,0
1.93702792e+00,2.48116170e-01,1
7.41532873e-01,-7.79302037e-01,1
-8.24992238e-01,4.15891062e-01,0
2.11098872e-01,1.36862141e+00,0
4.31094154e-01,-2.53002995e-01,1
-2.12678893e-01,2.66269043e-02,1
1.00018870e+00,-2.86861826e-01,1
-4.76989624e-01,4.46399913e-01,1
1.48245641e+00,-8.17896216e-01,1
1.70019590e+00,3.02857225e-02,1
4.38597346e-01,6.93821179e-01,0
1.96148253e+00,1.57903198e-01,1
1.17395916e+00,-1.27867662e-01,1
-6.56944434e-01,1.82073107e-01,0
4.62729802e-01,-1.44424717e-01,1
-1.10667621e+00,8.08472758e-03,0
7.21643871e-01,-1.67291079e-01,1
-3.99151246e-01,8.18573242e-01,0
2.69551485e+00,1.70933432e-01,1
-7.58684038e-01,4.87378842e-01,0
1.73549109e+00,8.30441644e-02,1
1.14467757e+00,-5.25408702e-01,1
-1.07232501e+00,2.47926177e-01,0
-8.78196278e-01,3.76678210e-01,0
8.00726347e-01,-7.61726892e-01,1
1.03796355e+00,6.28831280e-01,0
1.61318273e-01,9.71615428e-01,0
8.70901308e-01,9.53506692e-01,0
1.08307565e+00,2.97836594e-01,0
1.61591906e+00,-6.56373130e-01,1
4.58524838e-01,-1.51600044e-01,1
7.11545656e-01,7.20487556e-01,0
3.68321939e-01,1.07613644e+00,0
